2.407036953664600243e-01,2.362633587741941876e-01,2.430880060094377515e-01,3.890000000000000124e-01,2.615475633721976445e-01,2.454199284470099940e-01,2.915038112784062996e-01,2.122001818563962749e-01,1.952193649763592498e-01,2.233312035001926432e-01,2.356649062064771483e-01,2.189749990770365473e-01,2.697435060362486925e-01,2.221909944749932420e-01,2.521534327666876685e-01,2.209463949915988212e-01,2.631419088425749342e-01,2.704287231366929167e-01,4.289999999999999925e-01,2.614944202220541025e-01,2.751160710905948270e-01,1.858058662815458839e-01,5.050000000000000044e-01,3.290000000000000147e-01,1.937613740780938787e-01,5.250000000000000222e-01,8.309999999999999609e-01,4.580000000000000182e-01,4.450000000000000067e-01,6.039999999999999813e-01,1.598600171451975416e-01,2.750145072613866537e-01,3.850000000000000089e-01,4.069999999999999729e-01,5.100000000000000089e-01
2.657918590243414370e-01,2.693201273412743069e-01,2.481393428844268501e-01,2.679331091256862973e-01,2.688814208922735705e-01,4.919999999999999929e-01,2.602673169146179077e-01,2.678447356206677954e-01,2.542974468045651748e-01,2.213099189969247038e-01,2.361913231177017458e-01,2.072841021585427601e-01,2.399548017201355299e-01,1.966956623162360862e-01,2.494070334165811031e-01,2.510037954856644271e-01,2.511859022329553937e-01,3.290000000000000147e-01,2.509069773520818392e-01,7.910000000000000364e-01,2.966415100262767002e-01,2.080063077527645188e-01,2.741113717466949762e-01,2.845222788937180058e-01,2.030651190683370744e-01,4.219999999999999862e-01,2.894246308161634307e-01,5.500000000000000444e-01,3.649999999999999911e-01,7.249999999999999778e-01,2.836461790673617811e-01,2.175563672464486398e-01,3.310000000000000164e-01,3.579999999999999849e-01,4.000000000000000222e-01
2.615709956718212936e-01,2.696511048820735557e-01,2.618040731065224835e-01,2.669564311214565611e-01,2.628440338283991040e-01,2.469722249998272945e-01,2.638270894696020386e-01,2.397913094976998338e-01,2.100054427507898058e-01,2.496161473149218213e-01,2.108143618127511498e-01,2.449057689698377893e-01,1.981313508981151772e-01,3.119999999999999996e-01,1.564075350702958112e-01,1.975525962818675541e-01,2.323348781890165471e-01,1.870033908965001712e-01,2.247811681189761657e-01,1.855121241888240680e-01,2.539869702585159095e-01,3.669999999999999929e-01,1.768194904347124286e-01,3.649999999999999911e-01,4.319999999999999951e-01,2.570537762497037138e-01,2.885889455463110931e-01,4.229999999999999871e-01,4.269999999999999907e-01,4.000000000000000222e-01,5.570000000000000506e-01,2.493650251023013797e-01,4.229999999999999871e-01,3.669999999999999929e-01,3.780000000000000027e-01
2.701866261892803545e-01,2.771970269238589468e-01,2.541207331747682985e-01,2.495716100055390130e-01,2.381726071606082851e-01,2.308742436190049374e-01,2.550051300947312471e-01,2.696600160316328654e-01,2.399918743239887464e-01,3.250000000000000111e-01,2.810158662829428389e-01,2.494118708181686517e-01,2.691387021979246286e-01,2.805759260986703252e-01,2.294813916588743230e-01,2.476029147325655155e-01,2.349649155773620435e-01,2.110097209953941400e-01,2.460700724652499782e-01,1.827024178212125205e-01,2.706486768680228527e-01,2.773716048630845976e-01,1.629734505908724540e-01,2.260802874169534349e-01,2.325104242884925287e-01,2.802701175131203648e-01,2.803139135901780432e-01,2.743892672573381986e-01,4.600000000000000200e-01,5.150000000000000133e-01,4.709999999999999742e-01,4.329999999999999960e-01,3.310000000000000164e-01,2.663490910356056673e-01,5.719999999999999529e-01
2.802582508974574282e-01,2.779084015080456327e-01,2.694309674999786908e-01,2.753806879092399740e-01,2.723814479532301602e-01,6.119999999999999885e-01,2.789499262401491375e-01,2.302184023942340230e-01,2.234871364783709291e-01,2.490508880576709771e-01,3.920000000000000151e-01,3.089999999999999969e-01,2.527179530297719579e-01,2.730291277231936542e-01,1.947656732323006235e-01,1.712440289702234497e-01,1.817237977836305696e-01,2.344553484252135944e-01,2.183994389613320153e-01,2.260728017798621370e-01,2.421349090821679206e-01,7.109999999999999654e-01,1.991309094083557329e-01,4.680000000000000271e-01,1.643163507683649827e-01,7.479999999999999982e-01,2.115614878074576488e-01,2.910091632033433573e-01,2.435945776028607679e-01,4.520000000000000129e-01,6.049999999999999822e-01,4.020000000000000240e-01,5.380000000000000338e-01,8.930000000000000160e-01,5.230000000000000204e-01
2.563084972023747521e-01,2.740485126745992872e-01,2.663816329270294325e-01,2.625197767440100027e-01,2.641568210687217921e-01,2.740997267560974504e-01,2.559128888417719350e-01,3.180000000000000049e-01,2.629279000075760431e-01,2.757269278511927380e-01,2.233808755976345872e-01,2.604309219748051074e-01,2.983128633136686858e-01,2.786715285418953081e-01,2.975342756635228070e-01,4.410000000000000031e-01,4.040000000000000258e-01,3.509999999999999787e-01,4.279999999999999916e-01,3.370000000000000218e-01,3.509999999999999787e-01,4.989999999999999991e-01,5.540000000000000480e-01,2.978885777344516539e-01,4.889999999999999902e-01,7.309999999999999831e-01,4.849999999999999867e-01,9.210000000000000409e-01,8.279999999999999583e-01,7.409999999999999920e-01,9.629999999999999671e-01,3.980000000000000204e-01,8.770000000000000018e-01,4.620000000000000218e-01,4.299999999999999933e-01
2.375667572818815354e-01,2.761379681796447549e-01,2.708133549444327048e-01,2.672809648848271102e-01,2.745323041822013699e-01,2.512764842362295026e-01,2.372087962021091623e-01,2.141296097036086143e-01,2.582901365901859592e-01,3.049999999999999933e-01,2.404452783874425348e-01,2.329131343665720444e-01,2.262881671515701298e-01,2.305134620054526962e-01,1.879596811203363971e-01,2.027865452983629857e-01,1.800730220705178963e-01,2.582673649245522673e-01,2.551053173127915685e-01,2.399470598019387280e-01,3.860000000000000098e-01,2.203606494864805143e-01,3.240000000000000102e-01,2.253647504508007049e-01,4.010000000000000231e-01,3.069999999999999951e-01,1.887340663132952012e-01,2.910091632033433573e-01,7.530000000000000027e-01,1.959799835881655961e-01,6.310000000000000053e-01,2.101510663319499927e-01,3.539999999999999813e-01,2.022038385231878233e-01,3.170000000000000040e-01
3.021266889344423334e-01,2.654285718834270558e-01,3.629999999999999893e-01,2.792959996319545057e-01,2.599497794679335172e-01,2.467111871832638470e-01,2.944035801273023889e-01,2.878101615175489014e-01,2.560011702980394266e-01,2.321281953805932607e-01,2.223871731134082486e-01,4.560000000000000164e-01,2.884915474947606362e-01,3.709999999999999964e-01,2.047015002385042526e-01,2.221967770692467870e-01,1.778881418936198999e-01,2.370949028341338138e-01,5.090000000000000080e-01,1.970464333879080043e-01,4.249999999999999889e-01,3.870000000000000107e-01,5.500000000000000444e-01,3.380000000000000226e-01,3.430000000000000271e-01,6.400000000000000133e-01,2.235402794240710922e-01,5.889999999999999680e-01,4.239999999999999880e-01,3.579999999999999849e-01,8.699999999999999956e-01,4.979999999999999982e-01,3.240000000000000102e-01,6.039999999999999813e-01,4.969999999999999973e-01
2.575208423054022311e-01,2.768429417696961492e-01,2.736287113330572729e-01,4.799999999999999822e-01,2.538085544467434951e-01,2.669811875655612177e-01,2.774601004092054901e-01,2.624677480843534139e-01,2.867055405184483208e-01,2.611814355937762122e-01,1.790388550607598384e-01,2.616171151546257678e-01,2.504519455037414466e-01,2.430067260457560441e-01,1.669915257064092939e-01,2.998812390296393127e-01,1.884316207928010134e-01,2.122330338800934024e-01,3.380000000000000226e-01,2.460700724652499782e-01,3.860000000000000098e-01,6.560000000000000275e-01,2.630585024237102054e-01,5.170000000000000151e-01,4.069999999999999729e-01,3.699999999999999956e-01,5.480000000000000426e-01,6.470000000000000195e-01,1.000000000000000000e+00,2.710506800084441226e-01,5.949999999999999734e-01,8.000000000000000444e-01,3.689999999999999947e-01,4.510000000000000120e-01,6.770000000000000462e-01
2.366319652535969764e-01,2.486369050789569712e-01,2.618040731065224835e-01,2.996040759302741052e-01,2.503123920845017336e-01,2.451644533413015470e-01,2.763541010643809082e-01,2.858812753828997022e-01,2.378631645695410135e-01,2.109962406115492850e-01,2.356649062064771483e-01,1.731828037781261709e-01,2.293716661274202706e-01,2.141635457852985036e-01,1.701050399772285893e-01,2.382560546228265352e-01,1.873019480819953508e-01,2.292384131561912841e-01,1.849478407726210527e-01,3.030003411836915128e-01,1.850195141831648959e-01,5.290000000000000258e-01,2.044470967440954745e-01,3.340000000000000191e-01,1.963940759498946920e-01,2.262619471118292314e-01,2.403657711402542307e-01,3.890000000000000124e-01,3.420000000000000262e-01,1.856379861154902056e-01,4.069999999999999729e-01,1.619954366829726433e-01,7.129999999999999671e-01,3.109999999999999987e-01,8.209999999999999520e-01
